web_scraper_order,web_scraper_start_url,container_autreanimaux,Nom,Prix,Adresse,Image_lien
"1771111124-214","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/taureau-metis-dinsemination-5543760","Taureau métis d'insémination","2 500 000 CFA","Fatick, Sénégal",""
"1771111127-215","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-chinchilla-5543922","Chat Persan chinchilla","170 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4268866_uploaded_image1_1687597344.jpg"
"1771111132-216","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/grand-bouc-hijazi-5547149","Grand Bouc Hijazi","1 200 CFA","Saint Louis, Sénégal",""
"1771111136-217","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/pintades-5547215","Pintades","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_4412768_uploaded_image1_1697036744.jpg"
"1771111139-218","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-perruches-ondulees-5560070","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg"
"1771111142-219","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/uf-a-couver-5570463","Œuf à couver","Prix sur demande","Sicap foire, Dakar, Sénégal",""
"1771111145-220","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/bufs-5577776","Bœufs","Prix sur demande","Pikine, Sénégal",""
"1771111174-221","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/vache-5587581","Vache","350 000 CFA","Patte d'oie, Dakar, Sénégal",""
"1771111189-222","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/buf-5632012","Bœuf","725 CFA","Bambey, Sénégal",""
"1771111194-223","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/buf-5632019","Bœuf","650 CFA","Bambey, Sénégal",""
"1771111198-224","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/taureau-5634272","Taureau","2 500 000 CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_5543760_uploaded_image1_1758829182.jpg"
"1771111202-225","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-rose-gorge-5668046","Perroquets rose gorge","40 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5462432_uploaded_image1_1754495711.jpg"
"1771111205-226","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chatons-5671561","Chatons","Prix sur demande","Almadies 2, Dakar, Sénégal","https://images.coinafrique.com/thumb_2637004_uploaded_image1_1600508302.jpg"
"1771111209-227","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/auqarium-110-litre-et-couple-de-tortue-5672207","Auqarium 110 litre et couple de tortue","50 000 CFA","Dakar Plateau, Dakar, Sénégal",""
"1771111212-228","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-5673743","Chaton","750 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5673754_uploaded_image1_1765818969.jpg"
"1771111215-229","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/british-long-hair-blue-5673744","British Long Hair Blue","750 000 CFA","Point E, Dakar, Sénégal",""
"1771111219-230","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-5673747","Chaton Persan","650 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4386249_uploaded_image1_1695340690.jpg"
"1771111223-231","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/chaton-5673754","Chaton","750 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5673754_uploaded_image1_1765818969.jpg"
"1771111225-232","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/scottish-fold-5673757","Scottish Fold","720 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5673743_uploaded_image1_1765818498.jpg"
"1771111229-233","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/oiseaux-exotiques-5716215","Oiseaux exotiques","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453837_uploaded_image1_1578583493.67.png"
"1771111232-234","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/taureau-300-kg-5737439","Taureau 300 kg","750 000 CFA","Matam, Sénégal",""
"1771111234-235","https://sn.coinafrique.com/categorie/autres-animaux?page=1","https://sn.coinafrique.com/annonce/autres-animaux/canard-de-barbarie-5769889","Canard de barbarie","12 000 CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_3761752_uploaded_image1_1656414791.jpg"
